Geneset	Number of Genes	Edge Density	Segregation
ABNORMAL_AMINO_ACID_LEVEL	55	0.0013468013468013469	0.0018957345971563982
ABNORMAL_ASSOCIATIVE_LEARNING	38	0.001422475106685633	0.0010905125408942203
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	51	0.002352941176470588	0.0023584905660377358
ABNORMAL_BONE_MINERALIZATION	22	0.008658008658008658	0.002857142857142857
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	35	0.0	0.0
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	23	0.0	0.0
ABNORMAL_CELLULAR_RESPIRATION	26	0.009230769230769232	0.0025929127052722557
ABNORMAL_CILIUM_MORPHOLOGY	46	0.003864734299516908	0.003784295175023652
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	55	0.0006734006734006734	0.0007763975155279503
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	56	0.001948051948051948	0.002260738507912585
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	38	0.004267425320056899	0.0027624309392265192
ABNORMAL_COAT_HAIR_PIGMENTATION	43	0.0011074197120708748	0.0006702412868632708
ABNORMAL_CORNEA_MORPHOLOGY	29	0.0049261083743842365	0.0035149384885764497
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	30	0.0	0.0
ABNORMAL_DIGIT_MORPHOLOGY	28	0.0	0.0
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	26	0.0	0.0
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	32	0.006048387096774193	0.0022404779686333084
ABNORMAL_EYE_ELECTROPHYSIOLOGY	37	0.0015015015015015015	0.0017035775127768314
ABNORMAL_FASTED_CIRCULATING_GLUCOSE_LEVEL	53	0.000725689404934688	0.0007968127490039841
ABNORMAL_FATTY_ACID_LEVEL	42	0.0	0.0
ABNORMAL_FERTILIZATION	44	0.003171247357293869	0.0035671819262782403
ABNORMAL_GRANULOCYTE_PHYSIOLOGY	46	0.002898550724637681	0.0035211267605633804
ABNORMAL_HEART_LEFT_VENTRICLE_MORPHOLOGY	23	0.0	0.0
ABNORMAL_HEART_WEIGHT	33	0.003787878787878788	0.0016220600162206002
ABNORMAL_HEMATOCRIT	25	0.0033333333333333335	0.0013440860215053765
ABNORMAL_HEMOGLOBIN_CONTENT	31	0.004301075268817204	0.001936108422071636
ABNORMAL_HINDLIMB_ZEUGOPOD_MORPHOLOGY	39	0.0	0.0
ABNORMAL_IMPULSE_CONDUCTING_SYSTEM_CONDUCTION	39	0.001349527665317139	0.001394700139470014
ABNORMAL_LENS_MORPHOLOGY	68	0.0026338893766461808	0.003952569169960474
ABNORMAL_LIMBIC_SYSTEM_MORPHOLOGY	30	0.004597701149425287	0.002544529262086514
ABNORMAL_LITTER_SIZE	55	0.0006734006734006734	0.000846740050804403
ABNORMAL_MALE_ACCESSORY_SEX_GLAND_MORPHOLOGY	27	0.0	0.0
ABNORMAL_MALE_GERM_CELL_APOPTOSIS	36	0.0	0.0
ABNORMAL_MATURE_B_CELL_NUMBER	26	0.0	0.0
ABNORMAL_MEAN_CORPUSCULAR_HEMOGLOBIN	48	0.004432624113475178	0.0026109660574412533
ABNORMAL_MEAN_CORPUSCULAR_VOLUME	54	0.007686932215234102	0.004651162790697674
