Geneset	Number of Genes	Edge Density	Segregation
ABNORMAL_AMINO_ACID_LEVEL	58	0.003217893587416818	0.0015989618809431592
ABNORMAL_ASSOCIATIVE_LEARNING	49	0.005413723299319728	0.002296409252190582
ABNORMAL_BEHAVIORAL_RESPONSE_TO_LIGHT	23	0.0023142691699604744	0.0005147019304736553
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	58	0.007644013006654567	0.003116478566763167
ABNORMAL_BONE_MINERALIZATION	23	0.0020962288537549403	0.0003713056424353665
ABNORMAL_BRAIN_VENTRICULAR_SYSTEM_MORPHOLOGY	24	0.001961579347826087	0.0004579382336065453
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	39	0.0021554786774628876	0.0007949632527986948
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	25	0.004184509	0.0008815992521809399
ABNORMAL_CILIUM_MORPHOLOGY	51	0.002200742431372549	0.0011175196754475475
ABNORMAL_CIRCULATING_ALANINE_TRANSAMINASE_LEVEL	22	0.0008320554112554113	0.00020217355785966823
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	60	0.0018675391525423727	0.0010910066587136032
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	67	0.0015200959746720939	0.0010850170515498043
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	45	0.0025547967676767674	0.0010395116709305478
ABNORMAL_COAT_HAIR_PIGMENTATION	46	0.0038048841545893722	0.0012823430765625426
ABNORMAL_CORNEA_MORPHOLOGY	34	0.0034889629233511585	0.0012148046029471918
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	33	0.0017303532196969696	0.0006119995806469538
ABNORMAL_DIGIT_MORPHOLOGY	34	0.0019110023172905523	0.000650418218044266
ABNORMAL_EFFECTOR_T_CELL_NUMBER	21	0.0018230780952380953	0.00036621378430316397
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	30	0.0011136760919540232	0.0003163835663889328
ABNORMAL_EXCITATORY_POSTSYNAPTIC_CURRENTS	24	0.005197669565217391	0.0013550000848992717
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	36	0.002462844761904762	0.0007184415445886087
ABNORMAL_EYE_ELECTROPHYSIOLOGY	49	0.005778403316326531	0.002723707086313075
ABNORMAL_FASTED_CIRCULATING_GLUCOSE_LEVEL	56	0.002991485974025974	0.0015123147396997002
ABNORMAL_FATTY_ACID_LEVEL	47	0.0021612490286771506	0.0010779172023365343
ABNORMAL_FERTILIZATION	56	0.0018012336363636362	0.0012174993486259514
ABNORMAL_HEARTBEAT	37	0.004786165465465466	0.001303746440944644
ABNORMAL_HEART_LEFT_VENTRICLE_MORPHOLOGY	27	0.0006911797720797721	0.00024601025690691757
ABNORMAL_HEART_WEIGHT	36	0.0021121339682539687	0.000708310531853343
ABNORMAL_HEMATOCRIT	27	0.0016285524216524217	0.0004492173341055519
ABNORMAL_HEMOGLOBIN_CONTENT	35	0.0020891687394957986	0.0007777779030982356
ABNORMAL_HINDLIMB_ZEUGOPOD_MORPHOLOGY	45	0.002228181818181818	0.0009870054274900928
ABNORMAL_IMPULSE_CONDUCTING_SYSTEM_CONDUCTION	43	0.002067243521594685	0.000820730243161273
ABNORMAL_INNER_EAR_MORPHOLOGY	26	0.001671624923076923	0.0004803717801975861
ABNORMAL_LENS_MORPHOLOGY	72	0.003115119092331768	0.0018337100195893598
ABNORMAL_LIMBIC_SYSTEM_MORPHOLOGY	33	0.009159042234848485	0.002076112155929384
ABNORMAL_LITTER_SIZE	63	0.0025491313364055302	0.0013691421942054285
ABNORMAL_MALE_ACCESSORY_SEX_GLAND_MORPHOLOGY	32	0.002535193145161291	0.0006760887668455652
ABNORMAL_MALE_GERM_CELL_APOPTOSIS	40	0.0019877366666666667	0.0008348271807599184
ABNORMAL_MATURE_B_CELL_NUMBER	30	0.0019211558620689654	0.0006626719741829728
ABNORMAL_MEAN_CORPUSCULAR_HEMOGLOBIN	53	0.005098730333817126	0.0019453408576048771
ABNORMAL_MEAN_CORPUSCULAR_VOLUME	61	0.0029635257377049174	0.0015360753262694971
ABNORMAL_MEIOSIS	56	0.004140100714285715	0.0019847541950127313
ABNORMAL_MONOCYTE_MORPHOLOGY	41	0.0016107379268292684	0.0008039319566110981
ABNORMAL_MUSCLE_CONTRACTILITY	46	0.0034514839613526568	0.0015323255146136147
ABNORMAL_MYELOBLAST_MORPHOLOGY_DEVELOPMENT	24	0.0014467144927536233	0.0003159556187607926
ABNORMAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	59	0.005338944769140853	0.0026178571738699353
ABNORMAL_NEUTROPHIL_MORPHOLOGY	52	0.0030111598039215684	0.0013543728231043297
ABNORMAL_NK_CELL_MORPHOLOGY	22	0.001958134632034632	0.00038532613529493456
ABNORMAL_OOGENESIS	30	0.003948503908045977	0.00092098162421513
ABNORMAL_OVARY_MORPHOLOGY	23	0.0012743636363636362	0.0003152823836412685
ABNORMAL_PLATELET_MORPHOLOGY	50	0.0021727302857142855	0.0010265390203847084
ABNORMAL_PREPULSE_INHIBITION	55	0.0018977799326599328	0.0009798233989992047
ABNORMAL_PRESACRAL_VERTEBRAE_MORPHOLOGY	56	0.0031454168831168833	0.001521527569614117
ABNORMAL_REGULATORY_T_CELL_MORPHOLOGY	23	0.0024519940711462446	0.0005118185212627391
ABNORMAL_RESPONSE_TO_NOVELTY	75	0.0024794342342342344	0.001717994329736897
ABNORMAL_RETINAL_NEURONAL_LAYER_MORPHOLOGY	33	0.0024956403409090912	0.0008826087369897079
ABNORMAL_RETINAL_PIGMENTATION	25	0.001866318	0.00041592430022715696
ABNORMAL_ROD_ELECTROPHYSIOLOGY	26	0.004326498461538462	0.0010991073256085432
ABNORMAL_SACRAL_VERTEBRAE_MORPHOLOGY	29	0.0022397241379310344	0.0006013910217692127
ABNORMAL_SEIZURE_RESPONSE_TO_INDUCING_AGENT	37	0.007352857357357357	0.002130809487288654
ABNORMAL_SEMINIFEROUS_TUBULE_MORPHOLOGY	52	0.00509156342383107	0.0019958348713359476
ABNORMAL_SLEEP_BEHAVIOR	36	0.0017697830158730156	0.0006489817362372889
ABNORMAL_SODIUM_ION_HOMEOSTASIS	46	0.0033585727536231884	0.0012445122667226044
ABNORMAL_SPERMATID_MORPHOLOGY	32	0.0022304895161290323	0.0006100620375700467
ABNORMAL_SPERMIOGENESIS	29	0.0008966357142857144	0.0003299660111163489
ABNORMAL_SPERM_MIDPIECE_MORPHOLOGY	25	0.002060758333333333	0.00045537002312016423
ABNORMAL_SPERM_PHYSIOLOGY	97	0.001981897100515464	0.0022014068316400675
ABNORMAL_STARTLE_REFLEX	67	0.002103471551334238	0.001317445751064836
ABNORMAL_SYNAPSE_MORPHOLOGY	34	0.004700788770053476	0.0013981940364737743
ABNORMAL_T_CELL_ACTIVATION	43	0.012628030786267995	0.00392093978500176
ABNORMAL_TESTIS_WEIGHT	61	0.002926986830601093	0.001817757314440588
ABNORMAL_TOUCH_NOCICEPTION	70	0.004019885093167701	0.0023304282847788366
ABNORMAL_VESICLE_MEDIATED_TRANSPORT	22	0.0030867731601731604	0.0006306591457995546
