Geneset	Number of Genes	Edge Density	Segregation
ACUTE_LYMPHOCYTIC_LEUKEMIA	47	0.07852173913043478	0.010369311275529612
ADENOMA	92	0.04218275203057812	0.00954596431798689
ANEMIA	60	0.11687062146892656	0.018622784830182922
ASTHMA	81	0.08284290123456792	0.01861204232998243
AUTISTIC_DISORDER	43	0.09036655592469546	0.011266239374002398
AUTOIMMUNE_HYPERSENSITIVITY_DISEASE	146	0.04755200755786491	0.019963558250478727
AUTOIMMUNE_LYMPHOPROLIFERATIVE_SYNDROME	73	0.04993987823439878	0.011064793987534505
AUTOSOMAL_RECESSIVE_LIMB_GIRDLE_MUSCULAR_DYSTROPHY_TYPE_2H	32	0.2466391129032258	0.027392398521522976
BACTERIAL_INFECTIOUS_DISEASE	39	0.07386504723346828	0.0062121296899825635
BONE_MARROW_CANCER	123	0.06134906037584966	0.01619557213644669
BRAIN_CANCER	162	0.05258239398819109	0.016936626488734945
CEREBRAL_DEGENERATION	191	0.047554918710388534	0.02086297075353303
CHARCOT_MARIE_TOOTH_DISEASE	38	0.15782361308677098	0.017227557321805018
DERMATITIS	44	0.06744820295983087	0.010719688855848026
DIABETES_MELLITUS	187	0.05762825599447991	0.02742665558303352
EPILEPSY	58	0.08562734422262554	0.014813848837662022
EYE_DISEASE	203	0.0420947666195191	0.02666863395204973
FAMILIAL_PERIODIC_PARALYSIS	39	0.10897031039136303	0.009714991854142898
FEMALE_REPRODUCTIVE_ORGAN_CANCER	130	0.0496031007751938	0.013843480027517747
FUNDUS_DYSTROPHY	41	0.23887926829268294	0.03207931811653373
HEART_DISEASE	142	0.05989361702127659	0.022133850965588085
INTELLECTUAL_DISABILITY	53	0.056551523947750364	0.008142255850391796
INTESTINAL_BENIGN_NEOPLASM	92	0.07519804108934544	0.01172110124784064
KIDNEY_DISEASE	139	0.033424877489312894	0.016425723300206533
LEUKODYSTROPHY	25	0.07982333333333333	0.004698098101122407
LUNG_CANCER	169	0.051357565511411664	0.018010460153680012
LYMPHOBLASTIC_LEUKEMIA	126	0.06302361904761905	0.019219510015202945
LYMPHOMA	85	0.08972773109243697	0.018469930836357
LYSOSOMAL_STORAGE_DISEASE	71	0.07516941649899396	0.019543905780453615
MACULAR_DEGENERATION	25	0.15889	0.018408987951723483
MICROCEPHALIC_OSTEODYSPLASTIC_PRIMORDIAL_DWARFISM_TYPE_I	33	0.09589583333333332	0.005994012498486195
MOOD_DISORDER	61	0.07338196721311474	0.01202661906732601
MYELOID_LEUKEMIA	158	0.07992832379263082	0.023188557058026155
MYOPATHY	88	0.08152951933124347	0.01898541785834365
NUTRITION_DISEASE	142	0.06955678753371293	0.02856293059253765
OSTEOCHONDRODYSPLASIA	87	0.06829965249933173	0.014247184119549455
PANCREATIC_CANCER	93	0.05561827956989247	0.010142090718675187
PAPILLARY_RENAL_CELL_CARCINOMA	39	0.0540161943319838	0.006722408498591563
PARATHYROID_GLAND_DISEASE	58	0.12049001814882032	0.017727797795761027
PARKINSON_S_DISEASE	74	0.0832810070344317	0.012480674933630068
PERIPHERAL_NERVOUS_SYSTEM_DISEASE	84	0.056763052208835346	0.014076207115357807
PERIPHERAL_NERVOUS_SYSTEM_NEOPLASM	79	0.05102207075624796	0.007914279948993855
RETINAL_DISEASE	85	0.10609943977591035	0.03028583705448075
SCHIZOPHRENIA	159	0.0649013613565799	0.029280266099996184
STOMACH_CANCER	129	0.058295542635658906	0.015654791053094762
SYSTEMIC_LUPUS_ERYTHEMATOSUS	57	0.11439160401002507	0.019274222367911927
T_CELL_LEUKEMIA	45	0.08968080808080807	0.01027057072672177
TYPE_1_DIABETES_MELLITUS_11	36	0.09398253968253968	0.007971980593332184
VASCULAR_DISEASE	183	0.04515072359334654	0.02127800407994786
VIRAL_INFECTIOUS_DISEASE	116	0.0385904047976012	0.014096995531206748
