Geneset	Number of Genes	Edge Density	Segregation
ACUTE_LYMPHOCYTIC_LEUKEMIA	45	0.011137373737373737	0.015213500912727263
ADENOMA	88	0.0029919017763845347	0.00963467642276149
ANEMIA	59	0.036613676212741086	0.05484573051473353
ASTHMA	72	0.0039722222222222225	0.013566963581795976
AUTISTIC_DISORDER	38	0.00585348506401138	0.009861507528536066
AUTOIMMUNE_HYPERSENSITIVITY_DISEASE	138	0.004406643393631652	0.019898149523683507
AUTOSOMAL_RECESSIVE_LIMB_GIRDLE_MUSCULAR_DYSTROPHY_TYPE_2H	31	0.0180258064516129	0.036861130900551466
BACTERIAL_INFECTIOUS_DISEASE	37	0.01389189189189189	0.015478715929091018
BONE_MARROW_CANCER	121	0.009430027548209367	0.024079469071307397
BRAIN_CANCER	158	0.0054423929694428766	0.020807902206373734
CEREBRAL_DEGENERATION	183	0.006271842911187174	0.029396681970372797
CHARCOT_MARIE_TOOTH_DISEASE	37	0.004427927927927928	0.008270697778774963
DERMATITIS	41	0.0054243902439024385	0.009317095445766877
DIABETES_MELLITUS	174	0.0017033419706331803	0.01600267158537993
EPILEPSY	56	0.004272727272727273	0.0098505648355794
EYE_DISEASE	186	0.0026778262133100843	0.024640595584460023
FAMILIAL_PERIODIC_PARALYSIS	38	0.008820768136557609	0.011092308903183341
FEMALE_REPRODUCTIVE_ORGAN_CANCER	124	0.00554366640440598	0.020793084317343904
FUNDUS_DYSTROPHY	36	0.007926984126984126	0.021610347349335562
HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA	61	0.005293989071038251	0.007774245164769379
HEART_DISEASE	138	0.0043205331640748966	0.025523426470946655
HYPERTENSION	70	0.009605383022774328	0.030879514383461346
INTELLECTUAL_DISABILITY	49	0.0009795918367346938	0.001505736699979348
INTESTINAL_BENIGN_NEOPLASM	89	0.007629213483146067	0.014619878748374742
KIDNEY_DISEASE	131	0.002873752201996477	0.01844067408312847
LEUKODYSTROPHY	24	0.03651086956521739	0.050835658109137496
LUNG_CANCER	163	0.005154055896387185	0.020103232576400776
LYMPHOBLASTIC_LEUKEMIA	121	0.006460192837465564	0.02257110709641652
LYMPHOMA	82	0.009697681421258656	0.018345143430016628
LYSOSOMAL_STORAGE_DISEASE	62	0.004892120571126388	0.017222986571246112
MACULAR_DEGENERATION	23	0.014011857707509881	0.0389483398888132
MICROCEPHALIC_OSTEODYSPLASTIC_PRIMORDIAL_DWARFISM_TYPE_I	33	0.02208522727272727	0.020033019005684695
MOOD_DISORDER	59	0.0018082992402104032	0.005482617409348093
MYELOID_LEUKEMIA	157	0.012320186183243508	0.03585104681691948
MYOPATHY	86	0.005994254445964432	0.020839991781572444
NUTRITION_DISEASE	135	0.0027021558872305134	0.018017440227523523
OSTEOCHONDRODYSPLASIA	82	0.00660523938572719	0.020584098183595963
PANCREATIC_CANCER	89	0.007585035750766088	0.015498759180913303
PAPILLARY_RENAL_CELL_CARCINOMA	36	0.0027428571428571424	0.004735803551852664
PARATHYROID_GLAND_DISEASE	56	0.004716883116883118	0.016203652067616345
PARKINSON_S_DISEASE	72	0.009982394366197184	0.017324473849312728
PERIPHERAL_NERVOUS_SYSTEM_DISEASE	80	0.0023689873417721517	0.010855741608407332
PERIPHERAL_NERVOUS_SYSTEM_NEOPLASM	78	0.005102564102564102	0.009182190038914797
RETINAL_DISEASE	76	0.0056992982456140345	0.019418299801907752
SCHIZOPHRENIA	151	0.004224900662251656	0.029564366309709385
STOMACH_CANCER	124	0.005955415683189091	0.019497837103590633
T_CELL_LEUKEMIA	44	0.008826638477801269	0.01186015527570955
VASCULAR_DISEASE	172	0.0033681490548075617	0.025723773249394708
VIRAL_INFECTIOUS_DISEASE	114	0.00339869585468095	0.015500807577134052
