Geneset	Number of Genes	Edge Density	Segregation
ACQUIRED_IMMUNODEFICIENCY_SYNDROME	26	0.003076923076923077	0.002127659574468085
ACUTE_LYMPHOCYTIC_LEUKEMIA	49	0.01020408163265306	0.00718562874251497
ADENOMA	88	0.0041797283176593526	0.00535475234270415
ANEMIA	63	0.039938556067588324	0.025607353906762966
ARTHRITIS	102	0.007571345369831101	0.008680169152014245
ASTHMA	86	0.003009575923392613	0.007246376811594203
AUTISTIC_DISORDER	43	0.0033222591362126247	0.002130681818181818
AUTOIMMUNE_HYPERSENSITIVITY_DISEASE	154	0.005092946269416858	0.011263375258119017
AUTOIMMUNE_LYMPHOPROLIFERATIVE_SYNDROME	73	0.004946727549467275	0.005832211754149843
AUTOSOMAL_RECESSIVE_LIMB_GIRDLE_MUSCULAR_DYSTROPHY_TYPE_2H	34	0.0106951871657754	0.0062827225130890054
BACTERIAL_INFECTIOUS_DISEASE	42	0.012775842044134728	0.007907979870596693
BONE_MARROW_CANCER	131	0.01092190252495596	0.013519406890536415
BRAIN_CANCER	168	0.007912745936698032	0.013836948391922213
CEREBRAL_DEGENERATION	196	0.00858189429618001	0.016349317116937493
CHARCOT_MARIE_TOOTH_DISEASE	38	0.005689900426742532	0.002572347266881029
COLLAGEN_DISEASE	33	0.020833333333333332	0.006289308176100629
DERMATITIS	43	0.006644518272425249	0.004754358161648178
DIABETES_MELLITUS	185	0.0027614571092831964	0.008232615169031354
EPILEPSY	60	0.005084745762711864	0.004403131115459882
EYE_DISEASE	203	0.0037555479685899623	0.014071637426900584
FAMILIAL_PERIODIC_PARALYSIS	38	0.011379800853485065	0.004747774480712166
FEMALE_REPRODUCTIVE_ORGAN_CANCER	136	0.008061002178649237	0.013696094762169165
FUNDUS_DYSTROPHY	42	0.009291521486643438	0.007707129094412331
HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA	67	0.008593396653098146	0.005332584900364861
HEART_DISEASE	143	0.006106569486851177	0.012085769980506823
HYPERTENSION	74	0.009626064420584968	0.009100455022751138
INTELLECTUAL_DISABILITY	57	0.0018796992481203006	0.0011494252873563218
INTESTINAL_BENIGN_NEOPLASM	90	0.009238451935081148	0.009632908096849779
KIDNEY_DISEASE	141	0.003951367781155016	0.009796533534287867
LEUKODYSTROPHY	24	0.03260869565217391	0.01278409090909091
LUNG_CANCER	177	0.007575757575757576	0.013679573382796198
LYMPHOBLASTIC_LEUKEMIA	129	0.008357558139534883	0.013356562137049941
LYMPHOMA	90	0.012983770287141073	0.01182355616189177
LYSOSOMAL_STORAGE_DISEASE	67	0.007688828584350972	0.009809578765147143
MACULAR_DEGENERATION	24	0.010869565217391304	0.013452914798206279
MICROCEPHALIC_OSTEODYSPLASTIC_PRIMORDIAL_DWARFISM_TYPE_I	38	0.02418207681365576	0.009356081452944413
MOOD_DISORDER	61	0.002185792349726776	0.0026109660574412533
MOTOR_NEURON_DISEASE	56	0.02987012987012987	0.00983326207781103
MYELOID_LEUKEMIA	172	0.013259893920848633	0.01991421568627451
MYOPATHY	90	0.007990012484394507	0.008911166805903648
NUTRITION_DISEASE	135	0.003095632946379215	0.007679648930334613
OSTEOCHONDRODYSPLASIA	96	0.006578947368421052	0.009011715229798739
PANCREATIC_CANCER	101	0.009306930693069307	0.009637071970473652
PAPILLARY_RENAL_CELL_CARCINOMA	39	0.005398110661268556	0.0036529680365296802
PARATHYROID_GLAND_DISEASE	54	0.007686932215234102	0.008842443729903537
PARKINSON_S_DISEASE	75	0.014414414414414415	0.011065006915629323
PERIPHERAL_NERVOUS_SYSTEM_DISEASE	89	0.004596527068437181	0.0058823529411764705
PERIPHERAL_NERVOUS_SYSTEM_NEOPLASM	80	0.005379746835443038	0.004511677282377919
RETINAL_DISEASE	86	0.006566347469220246	0.009523809523809525
SCHIZOPHRENIA	159	0.005333970225300534	0.01482628900199159
STOMACH_CANCER	139	0.006777186946095298	0.012904506650784197
SYSTEMIC_LUPUS_ERYTHEMATOSUS	62	0.008989952406134321	0.008646998982706003
T_CELL_LEUKEMIA	47	0.012950971322849213	0.006663493574488339
VASCULAR_DISEASE	186	0.0042429526300494045	0.011409815567364801
VIRAL_INFECTIOUS_DISEASE	133	0.004784688995215311	0.008137957760124007
