Geneset	Number of Genes	Edge Density	Segregation
EUR_ASN_CAD_CAD_ADD_160614	39	0.0007651821862348177	0.0014048597741817992
EUR_BPSCZ	24	0.0	0.0
EUR_CARDIOGRAM_2010_LIPIDS_LDL_ONE	94	0.002707389613360787	0.012167123679213175
EUR_FRITSCHE_2015_ADVANCEDAMD	50	0.0014873469387755103	0.003134240806714363
EUR_GIANT_2015_HIPADJBMI_COMBINED_EUR	81	0.0013756172839506173	0.004880805195971389
EUR_GIANT_2015_HIPADJBMI_FEMALES_EUR	38	0.0018862019914651495	0.0036478478797915825
EUR_GIANT_2015_HIP_COMBINED_EUR	35	0.0005092436974789916	0.000736495158091238
EUR_GIANT_2015_WCADJBMI_COMBINED_EUR	51	0.0004478431372549019	0.0016636850478127354
EUR_GIANT_BMI_SNP_GWAS_MC_MERGE_NOGC_TBL_UNIQ	53	0.001509433962264151	0.003312239041743767
EUR_GIANT_EXTREME_HEIGHT_STAGE1_BERNDT2013_PUBLICRELEASE_HAPMAPCEUFREQ	62	0.00040877842411422523	0.0012985202244944925
EUR_GIANT_HEIGHT_LANGOALLEN2010_PUBLICRELEASE_HAPMAPCEUFREQ_EQTL	247	0.0011417333201672096	0.011621887760179072
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_MEN	48	0.0013625886524822695	0.0028526037200773554
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_WOMEN	89	0.00020965270684371806	0.0008537711518943112
EUR_GLGC_JOINTGWASMC_HDL	158	0.001729097798919616	0.0119211666578654
EUR_GLGC_JOINTGWASMC_TC	151	0.00164962472406181	0.011360354054841279
EUR_GLGC_JOINTGWASMC_TG	102	0.001473694428266356	0.010098819697953365
EUR_GLGC_MC_TC	122	0.0020070451158379623	0.01243814094544649
EUR_IBDGENETICS_CD	115	0.0017630816170861935	0.007799061305332201
EUR_IBDGENETICS_UC	82	0.0018873833182776272	0.008610091169711377
EUR_IBD_GWAS_ICHIP_META_RELEASE_CD_ICHIP_P	192	0.0015706806282722511	0.012283660428443834
EUR_IBD_GWAS_ICHIP_META_RELEASE_IBD_GWAS_P	244	0.00141614383053363	0.013781320062894528
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_GWAS_P	118	0.0016040851803563664	0.008406806529567313
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_ICHIP_P	93	0.0026124357176250585	0.008752282829675061
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_META_P	327	0.001076321269769798	0.016302374101250967
EUR_MAGIC_MANNING_ET_AL_FASTINGGLUCOSE_MAINEFFECT_BMIADJ	36	0.0014555555555555556	0.003910731268364872
EUR_MAGIC_SCOTT_ET_AL_FG_JAN2013	85	0.0006417366946778712	0.0032224805645459605
EUR_OKADA2014_RA_GWASMETA_EUROPEAN_V2	77	0.0029753930280246067	0.008008278716798895
EUR_PGC_SCZ2_2014	194	0.0005046738956252337	0.006020234819743412
EUR_PHS000180_T1D_PHS000180_PHA002862	62	0.0024362771020624003	0.0076155935352586876
EUR_SCZ_SWE_PGC1_RESULTS_V3	37	0.0	0.0
