Geneset	Number of Genes	Edge Density	Segregation
EUR_ASN_CAD_CAD_ADD_160614	44	0.005267441860465117	0.0027872494663784887
EUR_BMI_ENGAGE1000G_BMI	24	0.0036231884057971015	0.0018899840296349496
EUR_BPSCZ	33	0.125	0.01661683295248895
EUR_CARDIOGRAM_2010_LIPIDS_LDL_ONE	109	0.005591573224600748	0.01143548084473568
EUR_FRITSCHE_2015_ADVANCEDAMD	93	0.002503740065451145	0.0035958700034746747
EUR_GIANT_2015_HIPADJBMI_COMBINED_EUR	97	0.04502319587628866	0.023928394256217407
EUR_GIANT_2015_HIPADJBMI_FEMALES_EUR	44	0.022218816067653274	0.008437729444299706
EUR_GIANT_2015_HIP_COMBINED_EUR	40	0.0027602564102564104	0.002531746787691924
EUR_GIANT_2015_WCADJBMI_COMBINED_EUR	59	0.004956750438340152	0.004402930718605433
EUR_GIANT_BMI_SNP_GWAS_MC_MERGE_NOGC_TBL_UNIQ	61	0.0020885245901639347	0.002046705805051004
EUR_GIANT_EXTREME_HEIGHT_STAGE1_BERNDT2013_PUBLICRELEASE_HAPMAPCEUFREQ	71	0.002635010060362173	0.0033351533722332694
EUR_GIANT_HEIGHT_LANGOALLEN2010_PUBLICRELEASE_HAPMAPCEUFREQ_EQTL	284	0.005340516597820135	0.019254751558133536
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_MEN	53	0.0017010159651669084	0.002382731297236581
EUR_GIANT_RANDALL2013PLOSGENET_STAGE1_PUBLICRELEASE_HAPMAPCEUFREQ_HEIGHT_WOMEN	102	0.014313919627256842	0.012793826286037133
EUR_GLGC_JOINTGWASMC_HDL	189	0.0032096701564786672	0.012028450788779748
EUR_GLGC_JOINTGWASMC_TC	189	0.003560677698975571	0.011701463316460957
EUR_GLGC_JOINTGWASMC_TG	133	0.0030857826384142173	0.01018031565104673
EUR_GLGC_MC_TC	138	0.004866285835184597	0.011791853698062816
EUR_IBDGENETICS_CD	140	0.0032974306269270295	0.007889786926079112
EUR_IBDGENETICS_UC	103	0.004507138777841234	0.00879083994181025
EUR_IBD_GWAS_ICHIP_META_RELEASE_CD_ICHIP_P	217	0.003331754565625534	0.013121237220602582
EUR_IBD_GWAS_ICHIP_META_RELEASE_IBD_GWAS_P	272	0.003226855871499891	0.014732081473691257
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_GWAS_P	133	0.002406926406926407	0.006394166080050554
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_ICHIP_P	101	0.004028118811881188	0.0062917942531935285
EUR_IBD_GWAS_ICHIP_META_RELEASE_UC_META_P	372	0.001938802422977712	0.013092518184977241
EUR_KATHIRESAN2009_TG	39	0.008836707152496626	0.007560467575893331
EUR_MAGIC_MANNING_ET_AL_FASTINGGLUCOSE_MAINEFFECT_BMIADJ	42	0.0027839721254355404	0.0017682754998310658
EUR_MAGIC_SCOTT_ET_AL_FG_JAN2013	98	0.00103240058910162	0.0018405257744873952
EUR_NEUROTICISM_FULL	31	0.002470967741935484	0.0015050791509205342
EUR_OKADA2014_RA_GWASMETA_EUROPEAN_V2	131	0.008482677627715797	0.014718753215842782
EUR_PGC_SCZ2_2014	318	0.009290716822411366	0.029636061469449446
EUR_PGC_SCZ_FULL_2012_04	33	0.15418560606060605	0.017063397827429747
EUR_PHS000180_T1D_PHS000180_PHA002862	113	0.030158027812895064	0.024210915591010095
EUR_SCZ_SWE_PGC1_RESULTS_V3	78	0.02712887112887113	0.014464220371455692
